 12Z 10 May 2015, 76225, 0.00, 0.00
 12Z 11 May 2015, 76225, 0.00, 0.00
 12Z 12 May 2015, 76225, 83.54, -216.91
 12Z 13 May 2015, 76225, 0.00, 0.00
 12Z 14 May 2015, 76225, 0.00, 0.00
 12Z 15 May 2015, 76225, 0.00, 0.00
 12Z 16 May 2015, 76225, 0.00, 0.00
 12Z 17 May 2015, 76225, 0.00, 0.00
 12Z 18 May 2015, 76225, 0.00, 0.00
 12Z 19 May 2015, 76225, 0.00, 0.00
 12Z 20 May 2015, 76225, 0.00, 0.00
 12Z 21 May 2015, 76225, 0.00, 0.00
 12Z 22 May 2015, 76225, 0.00, 0.00
 12Z 23 May 2015, 76225, 0.00, 0.00
 12Z 25 May 2015, 76225, 0.00, 0.00
 12Z 26 May 2015, 76225, 0.00, 0.00
 12Z 27 May 2015, 76225, 0.00, 0.00
 12Z 28 May 2015, 76225, 0.00, 0.00
 12Z 29 May 2015, 76225, 0.00, 0.00
 12Z 30 May 2015, 76225, 19.82, -270.36
 12Z 31 May 2015, 76225, 24.00, -243.90
 12Z 01 Jun 2015, 76225, 0.00, 0.00
 12Z 02 Jun 2015, 76225, 0.00, 0.00
 12Z 03 Jun 2015, 76225, 0.00, 0.00
 12Z 04 Jun 2015, 76225, 0.00, 0.00
 12Z 05 Jun 2015, 76225, 0.00, 0.00
 12Z 06 Jun 2015, 76225, 0.00, 0.00
 12Z 07 Jun 2015, 76225, 0.00, 0.00
 12Z 08 Jun 2015, 76225, 6.05, -164.19
 12Z 09 Jun 2015, 76225, 20.50, -110.72
 12Z 10 Jun 2015, 76225, 457.87, -186.33
 12Z 11 Jun 2015, 76225, 18.60, -280.52
 12Z 12 Jun 2015, 76225, 0.00, 0.00
 12Z 13 Jun 2015, 76225, 0.00, 0.00
 12Z 14 Jun 2015, 76225, 0.00, 0.00
 12Z 15 Jun 2015, 76225, 74.52, -338.56
 12Z 16 Jun 2015, 76225, 0.00, 0.00
 12Z 17 Jun 2015, 76225, 81.28, -83.81
 12Z 18 Jun 2015, 76225, 0.00, 0.00
 12Z 19 Jun 2015, 76225, 24.22, -325.23
 12Z 20 Jun 2015, 76225, 142.50, -307.60
 12Z 21 Jun 2015, 76225, 194.94, -302.02
 12Z 22 Jun 2015, 76225, 309.75, -265.29
 12Z 23 Jun 2015, 76225, 82.56, -237.27
 12Z 24 Jun 2015, 76225, 433.63, -18.96
 12Z 25 Jun 2015, 76225, 478.57, -39.51
 12Z 26 Jun 2015, 76225, 172.20, -189.31
 12Z 27 Jun 2015, 76225, 87.93, -173.38
 12Z 28 Jun 2015, 76225, 82.80, -60.91
 12Z 29 Jun 2015, 76225, 58.56, -88.65
 12Z 30 Jun 2015, 76225, 141.99, -162.80
 12Z 01 Jul 2015, 76225, 0.00, 0.00
 00Z 02 Jul 2015, 76225, 679.30, -0.94
 12Z 02 Jul 2015, 76225, 69.70, -217.24
 00Z 03 Jul 2015, 76225, 734.76, 0.00
 12Z 03 Jul 2015, 76225, 0.00, 0.00
 00Z 04 Jul 2015, 76225, 859.37, -12.66
 12Z 04 Jul 2015, 76225, 200.64, -130.56
 12Z 05 Jul 2015, 76225, 185.93, -175.46
 12Z 06 Jul 2015, 76225, 206.62, -144.02
 00Z 07 Jul 2015, 76225, 27.59, -171.17
 12Z 07 Jul 2015, 76225, 216.59, -213.90
 00Z 08 Jul 2015, 76225, 1052.75, -0.34
 12Z 08 Jul 2015, 76225, 7.49, -138.70
 00Z 09 Jul 2015, 76225, 574.49, -37.82
 12Z 09 Jul 2015, 76225, 954.81, -68.71
 00Z 10 Jul 2015, 76225, 1064.79, -0.53
 12Z 10 Jul 2015, 76225, 487.28, -125.70
 00Z 11 Jul 2015, 76225, 1156.20, -68.41
 12Z 11 Jul 2015, 76225, 873.27, -113.82
 12Z 12 Jul 2015, 76225, 55.38, -298.34
 12Z 13 Jul 2015, 76225, 90.23, -294.50
 00Z 14 Jul 2015, 76225, 52.51, -54.83
 12Z 14 Jul 2015, 76225, 14.58, -326.81
 00Z 15 Jul 2015, 76225, 217.53, -12.42
 00Z 16 Jul 2015, 76225, 244.77, -13.59
 12Z 16 Jul 2015, 76225, 72.57, -233.69
 00Z 17 Jul 2015, 76225, 398.80, -2.11
 12Z 17 Jul 2015, 76225, 0.00, 0.00
 00Z 18 Jul 2015, 76225, 251.87, -0.52
 12Z 18 Jul 2015, 76225, 14.79, -264.07
 12Z 19 Jul 2015, 76225, 43.27, -196.97
 12Z 20 Jul 2015, 76225, 21.35, -235.24
 00Z 21 Jul 2015, 76225, 743.30, -6.06
 12Z 21 Jul 2015, 76225, 0.00, -279.36
 00Z 22 Jul 2015, 76225, 1089.25, -0.03
 12Z 22 Jul 2015, 76225, 135.88, -88.68
 00Z 23 Jul 2015, 76225, 214.11, -6.49
 12Z 23 Jul 2015, 76225, 72.88, -159.98
