
             , Sta.Nu, Sh.in, Lif.in, LIFT, SWEAT, K index, Tot tot, 
12:00 08 Mar ,  76225,  1.84,  1.62,  1.59,  149.59,  28.50,  47.30,  0.00,  0.00,  0.00,  278.92,  19.11
12:00 09 Mar ,  76225,  1.04,  0.20,  0.11,  100.39,  19.70,  52.00,  10.48,  -175.08
12:00 10 Mar ,  76225,  1.52,  1.44,  1.23,  96.01,  28.00,  50.20,  6.02,  -177.82
12:00 11 Mar ,  76225,  5.48,  5.15,  4.95,  34.38,  23.00,  43.20,  0.00,  0.00,  0.00,  274.03,  12.04
12:00 12 Mar ,  76225,  9.06,  8.77,  8.54,  44.20,  18.30,  35.40,  0.00,  0.00,  0.00,  273.73,  11.80
12:00 13 Mar ,  76225,  1.47,  1.32,  1.29,  81.59,  29.60,  49.80,  0.00,  0.00,  0.00,  273.18,  15.60
12:00 14 Mar ,  76225,  3.32,  4.05,  4.00,  61.40,  23.10,  46.80,  15.39,  -134.84
12:00 15 Mar ,  76225,  5.58,  5.86,  5.89,  30.01,  23.30,  43.20,  0.00,  0.00,  0.00,  269.72,  12.90
12:00 16 Mar ,  76225,  6.38,  5.85,  5.95,  104.78,  24.00,  40.20,  0.00,  0.00,  0.00,  277.92,  20.25
12:00 17 Mar ,  76225,  4.19,  4.49,  4.15,  165.99,  26.70,  41.70,  0.00,  0.00,  0.00,  280.04,  13.28
12:00 18 Mar ,  76225,  6.97,  7.01,  6.87,  93.61,  20.60,  37.70,  0.00,  0.00,  0.00,  277.33,  16.18
12:00 19 Mar ,  76225,  0.79,  1.45,  1.38,  136.38,  25.90,  48.40,  0.00,  0.00,  0.00,  278.09,  16.28
12:00 20 Mar ,  76225,  1.11,  1.29,  1.03,  119.99,  30.20,  48.80,  0.00,  0.00,  0.00,  278.23,  15.84
12:00 21 Mar ,  76225,  0.22,  0.08,  -0.06,  165.39,  32.40,  51.00,  1.40,  -17.45
12:00 22 Mar ,  76225,  4.35,  5.03,  4.80,  84.38,  19.10,  43.80,  0.00,  0.00,  0.00,  272.62,  9.95
12:00 23 Mar ,  76225,  6.94,  7.96,  7.76,  47.00,  17.70,  38.40,  0.00,  0.00,  0.00,  270.04,  9.59
12:00 24 Mar ,  76225,  2.80,  3.72,  3.49,  69.80,  21.30,  45.80,  0.00,  0.00,  0.00,  270.42,  12.62
12:00 25 Mar ,  76225,  4.18,  4.32,  4.13,  42.99,  -2.70,  43.60,  0.00,  0.00,  0.00,  264.45,  6.91
12:00 26 Mar ,  76225,  7.30,  7.39,  7.44,  29.97,  5.50,  39.60,  0.00,  0.00,  0.00,  265.18,  7.86
12:00 27 Mar ,  76225,  5.58,  6.40,  6.21,  47.59,  -4.10,  42.20,  0.00,  0.00,  0.00,  271.58,  7.20
12:00 28 Mar ,  76225,  4.78,  5.62,  5.41,  48.02,  9.70,  42.40,  0.00,  0.00,  0.00,  264.45,  5.99
12:00 29 Mar ,  76225,  8.54,  7.66,  7.45,  18.98,  -3.30,  34.80,  0.00,  0.00,  0.00,  261.89,  6.56
12:00 30 Mar ,  76225,  3.96,  3.51,  3.52,  30.01,  4.50,  42.60,  0.00,  0.00,  0.00,  260.99,  10.71
12:00 31 Mar ,  76225,  8.09,  6.63,  6.74,  33.87,  16.90,  37.40,  0.00,  0.00,  0.00,  271.09,  16.97

12:00 01 Apr ,  76225,  9.44,  8.71,  8.68,  66.41,  9.90,  34.60,  0.00,  0.00,  0.00,  271.97,  11.88
12:00 02 Apr ,  76225,  13.37,  13.30,  13.12,  47.37,  1.30,  27.20,  0.00,  0.00,  0.00,  269.67,  7.72
12:00 03 Apr ,  76225,  6.95,  7.43,  7.11,  79.18,  9.70,  37.20,  0.00,  0.00,  0.00,  271.90,  10.28
12:00 04 Apr ,  76225,  7.83,  7.46,  7.58,  75.61,  14.30,  37.00,  0.00,  0.00,  0.00,  270.97,  17.73
12:00 06 Apr ,  76225,  3.28,  2.74,  2.62,  75.41,  19.50,  44.60,  0.00,  0.00,  0.00,  270.59,  14.85
12:00 07 Apr ,  76225,  2.69,  1.72,  1.55,  81.99,  13.50,  46.00,  0.00,  0.00,  0.00,  270.24,  11.39
12:00 08 Apr ,  76225,  3.83,  3.37,  3.41,  54.99,  17.10,  43.40,  0.00,  0.00,  0.00,  266.95,  16.10
12:00 09 Apr ,  76225,  6.19,  6.43,  6.17,  53.79,  8.90,  39.00,  0.00,  0.00,  0.00,  266.14,  7.60
12:00 10 Apr ,  76225,  0.79,  0.39,  0.13,  103.21,  18.10,  49.00,  0.00,  0.00,  0.00,  275.93,  14.24
12:00 11 Apr ,  76225,  2.15,  2.17,  2.18,  86.79,  24.70,  46.60,  0.00,  0.00,  0.00,  273.96,  19.16
12:00 12 Apr ,  76225,  1.74,  1.11,  0.91,  160.61,  27.20,  45.70,  2.13,  -250.81
12:00 13 Apr ,  76225,  7.10,  6.88,  6.75,  69.79,  21.20,  39.40,  0.00,  0.00,  0.00,  272.09,  11.70
12:00 14 Apr ,  76225,  6.84,  6.99,  6.80,  88.60,  17.90,  39.20,  0.00,  0.00,  0.00,  276.48,  14.87
12:00 15 Apr ,  76225,  1.37,  1.19,  0.84,  114.19,  28.70,  48.20,  0.00,  0.00,  0.00,  276.13,  14.51
12:00 16 Apr ,  76225,  5.38,  4.95,  4.70,  39.01,  10.90,  41.80,  0.00,  0.00,  0.00,  267.83,  6.41
12:00 17 Apr ,  76225,  2.61,  3.78,  3.55,  61.18,  0.50,  46.80,  0.00,  0.00,  0.00,  268.60,  5.96
12:00 18 Apr ,  76225,  6.69,  7.06,  6.97,  41.98,  12.70,  39.20,  0.00,  0.00,  0.00,  260.89,  7.16
12:00 19 Apr ,  76225,  9.39,  8.50,  8.31,  43.01,  1.50,  33.00,  0.00,  0.00,  0.00,  259.17,  5.79
12:00 20 Apr ,  76225,  5.54,  4.19,  4.15,  39.01,  8.50,  41.20,  0.00,  0.00,  0.00,  264.11,  10.29
12:00 21 Apr ,  76225,  8.91,  7.93,  7.69,  65.99,  2.50,  34.60,  0.00,  0.00,  0.00,  265.13,  7.80
12:00 22 Apr ,  76225,  9.02,  8.38,  8.11,  56.00,  -4.90,  34.20,  0.00,  0.00,  0.00,  265.85,  5.45
12:00 23 Apr ,  76225,  5.56,  5.44,  5.58,  134.98,  26.80,  39.80,  0.00,  0.00,  0.00,  275.18,  22.84
12:00 24 Apr ,  76225,  3.73,  3.59,  3.18,  191.61,  27.50,  42.00,  0.00,  0.00,  0.00,  278.58,  17.09
12:00 25 Apr ,  76225,  6.66,  7.23,  7.04,  47.98,  -13.90,  39.20,  0.00,  0.00,  0.00,  267.10,  5.95
12:00 26 Apr ,  76225,  10.37,  10.35,  10.23,  47.98,  -11.90,  30.00,  0.00,  0.00,  0.00,  257.45,  4.07
12:00 27 Apr ,  76225,  12.30,  10.77,  10.68,  73.00,  13.60,  29.40,  0.00,  0.00,  0.00,  266.93,  11.47
12:00 28 Apr ,  76225,  10.18,  9.89,  9.76,  50.99,  12.30,  34.80,  0.00,  0.00,  0.00,  270.64,  11.90
12:00 29 Apr ,  76225,  7.06,  6.59,  6.66,  45.01,  9.10,  40.40,  0.00,  0.00,  0.00,  268.48,  11.02

