anio,mes,dia,hora(utc),altura(mm)
2016,1,10,12,648 
2016,1,10,13,641 
2016,1,10,14,623 
2016,1,10,15,593 
2016,1,10,16,558 
2016,1,10,17,514 
2016,1,10,18,440 
2016,1,10,19,315 
2016,1,10,20,146 
2016,1,10,21,-31 
2016,1,10,22,-177 
2016,1,10,23,-274 
2016,1,11,0,-315 
2016,1,11,1,-302 
2016,1,11,2,-246 
2016,1,11,3,-158 
2016,1,11,4,-37 
2016,1,11,5,118 
2016,1,11,6,287 
2016,1,11,7,430 
2016,1,11,8,525 
2016,1,11,9,578 
2016,1,11,10,608 
2016,1,11,11,626 
2016,1,11,12,631 
2016,1,11,13,627 
2016,1,11,14,612 
2016,1,11,15,583 
2016,1,11,16,544 
2016,1,11,17,503 
2016,1,11,18,454 
2016,1,11,19,374 
2016,1,11,20,248 
2016,1,11,21,91 
2016,1,11,22,-61 
2016,1,11,23,-178 
2016,1,12,0,-246 
2016,1,12,1,-263 
2016,1,12,2,-234 
2016,1,12,3,-172 
2016,1,12,4,-84 
2016,1,12,5,37 
2016,1,12,6,188 
2016,1,12,7,342 
2016,1,12,8,463 
2016,1,12,9,538 
2016,1,12,10,577 
2016,1,12,11,596 
2016,1,12,12,601 
2016,1,12,13,596 
2016,1,12,14,582 
2016,1,12,15,555 
2016,1,12,16,513 
2016,1,12,17,465 
2016,1,12,18,421 
2016,1,12,19,375 
2016,1,12,20,301 
2016,1,12,21,191 
2016,1,12,22,62 
2016,1,12,23,-53 
2016,1,13,0,-135 
2016,1,13,1,-173 
2016,1,13,2,-170 
2016,1,13,3,-133 
2016,1,13,4,-73 
2016,1,13,5,9 
2016,1,13,6,120 
2016,1,13,7,257 
2016,1,13,8,388 
2016,1,13,9,485 
2016,1,13,10,539 
2016,1,13,11,562 
2016,1,13,12,566 
2016,1,13,13,557 
2016,1,13,14,539 
2016,1,13,15,511 
2016,1,13,16,469 
2016,1,13,17,412 
2016,1,13,18,359 
2016,1,13,19,320 
2016,1,13,20,285 
2016,1,13,21,231 
2016,1,13,22,153 
2016,1,13,23,66 
2016,1,14,0,-7 
2016,1,14,1,-52 
2016,1,14,2,-64 
2016,1,14,3,-45 
2016,1,14,4,-6 
2016,1,14,5,45 
2016,1,14,6,112 
2016,1,14,7,207 
2016,1,14,8,321 
2016,1,14,9,425 
2016,1,14,10,496 
2016,1,14,11,530 
2016,1,14,12,534 
2016,1,14,13,519 
2016,1,14,14,493 
2016,1,14,15,460 
2016,1,14,16,415 
2016,1,14,17,353 
2016,1,14,18,286 
2016,1,14,19,235 
2016,1,14,20,210 
2016,1,14,21,199 
2016,1,14,22,179 
2016,1,14,23,143 
2016,1,15,0,103 
2016,1,15,1,72 
2016,1,15,2,61 
2016,1,15,3,73 
2016,1,15,4,100 
2016,1,15,5,134 
2016,1,15,6,169 
2016,1,15,7,217 
2016,1,15,8,289 
2016,1,15,9,377 
2016,1,15,10,454 
2016,1,15,11,500 
2016,1,15,12,510 
2016,1,15,13,492 
2016,1,15,14,457 
2016,1,15,15,414 
2016,1,15,16,361 
2016,1,15,17,294 
2016,1,15,18,217 
2016,1,15,19,148 
2016,1,15,20,109 
2016,1,15,21,109 
2016,1,15,22,130 
2016,1,15,23,152 
2016,1,16,0,163 
2016,1,16,1,168 
2016,1,16,2,175 
2016,1,16,3,193 
2016,1,16,4,220 
2016,1,16,5,249 
2016,1,16,6,270 
2016,1,16,7,287 
2016,1,16,8,314 
2016,1,16,9,363 
2016,1,16,10,424 
2016,1,16,11,474 
2016,1,16,12,494 
2016,1,16,13,480 
2016,1,16,14,440 
2016,1,16,15,384 
2016,1,16,16,319 
2016,1,16,17,242 
2016,1,16,18,156 
2016,1,16,19,73 
2016,1,16,20,13 
2016,1,16,21,-2 
2016,1,16,22,30 
2016,1,16,23,90 
2016,1,17,0,155 
2016,1,17,1,210 
2016,1,17,2,253 
2016,1,17,3,291 
2016,1,17,4,329 
2016,1,17,5,362 
2016,1,17,6,384 
2016,1,17,7,390 
2016,1,17,8,390 
2016,1,17,9,398 
2016,1,17,10,426 
2016,1,17,11,462 
2016,1,17,12,486 
2016,1,17,13,482 
2016,1,17,14,444 
2016,1,17,15,380 
2016,1,17,16,300 
2016,1,17,17,210 
2016,1,17,18,112 
2016,1,17,19,16 
2016,1,17,20,-62 
2016,1,17,21,-101 
2016,1,17,22,-85 
2016,1,17,23,-17 
2016,1,18,0,82 
2016,1,18,1,186 
2016,1,18,2,276 
2016,1,18,3,348 
2016,1,18,4,406 
2016,1,18,5,452 
2016,1,18,6,483 
2016,1,18,7,493 
2016,1,18,8,486 
2016,1,18,9,473 
2016,1,18,10,466 
2016,1,18,11,475 
2016,1,18,12,489 
2016,1,18,13,491 
2016,1,18,14,464 
2016,1,18,15,403 
2016,1,18,16,314 
2016,1,18,17,207 
2016,1,18,18,93 
2016,1,18,19,-19 
2016,1,18,20,-113 
2016,1,18,21,-172 
2016,1,18,22,-182 
2016,1,18,23,-132 
2016,1,19,0,-30 
2016,1,19,1,103 
2016,1,19,2,237 
2016,1,19,3,351 
2016,1,19,4,439 
2016,1,19,5,504 
2016,1,19,6,549 
2016,1,19,7,571 
2016,1,19,8,572 
2016,1,19,9,557 
2016,1,19,10,535 
2016,1,19,11,518 
2016,1,19,12,511 
2016,1,19,13,508 
2016,1,19,14,491 
2016,1,19,15,444 
2016,1,19,16,357 
2016,1,19,17,240 
2016,1,19,18,108 
2016,1,19,19,-23 
2016,1,19,20,-135 
2016,1,19,21,-214 
2016,1,19,22,-246 
2016,1,19,23,-224 
2016,1,20,0,-143 
2016,1,20,1,-12 
2016,1,20,2,146 
2016,1,20,3,299 
2016,1,20,4,425 
2016,1,20,5,516 
2016,1,20,6,576 
2016,1,20,7,611 
2016,1,20,8,625 
2016,1,20,9,621 
2016,1,20,10,604 
2016,1,20,11,578 
2016,1,20,12,553 
2016,1,20,13,534 
2016,1,20,14,518 
2016,1,20,15,486 
2016,1,20,16,417 
2016,1,20,17,303 
2016,1,20,18,160 
2016,1,20,19,10 
2016,1,20,20,-124 
2016,1,20,21,-224 
2016,1,20,22,-277 
2016,1,20,23,-279 
2016,1,21,0,-227 
2016,1,21,1,-121 
2016,1,21,2,32 
2016,1,21,3,204 
2016,1,21,4,365 
2016,1,21,5,487 
2016,1,21,6,568 
2016,1,21,7,615 
2016,1,21,8,641 
2016,1,21,9,651 
2016,1,21,10,648 
2016,1,21,11,631 
2016,1,21,12,603 
2016,1,21,13,571 
2016,1,21,14,545 
2016,1,21,15,519 
2016,1,21,16,471 
2016,1,21,17,378 
2016,1,21,18,239 
2016,1,21,19,77 
2016,1,21,20,-77 
2016,1,21,21,-200 
2016,1,21,22,-275 
2016,1,21,23,-298 
2016,1,22,0,-270 
2016,1,22,1,-195 
2016,1,22,2,-72 
2016,1,22,3,93 
2016,1,22,4,270 
2016,1,22,5,423 
2016,1,22,6,530 
2016,1,22,7,592 
2016,1,22,8,626 
2016,1,22,9,645 
2016,1,22,10,656 
2016,1,22,11,656 
2016,1,22,12,641 
2016,1,22,13,610 
2016,1,22,14,573 
2016,1,22,15,542 
2016,1,22,16,505 
2016,1,22,17,439 
2016,1,22,18,323 
2016,1,22,19,166 
2016,1,22,20,1 
2016,1,22,21,-141 
2016,1,22,22,-239 
2016,1,22,23,-283 
2016,1,23,0,-276 
2016,1,23,1,-225 
2016,1,23,2,-135 
2016,1,23,3,-2 
2016,1,23,4,166 
2016,1,23,5,334 
2016,1,23,6,467 
2016,1,23,7,549 
2016,1,23,8,592 
2016,1,23,9,616 
2016,1,23,10,633 
2016,1,23,11,646 
2016,1,23,12,649 
2016,1,23,13,633 
2016,1,23,14,598 
2016,1,23,15,557 
2016,1,23,16,519 
2016,1,23,17,470 
2016,1,23,18,385 
2016,1,23,19,253 
2016,1,23,20,95 
2016,1,23,21,-56 
2016,1,23,22,-173 
2016,1,23,23,-238 
2016,1,24,0,-249 
2016,1,24,1,-216 
2016,1,24,2,-151 
2016,1,24,3,-53 
2016,1,24,4,83 
2016,1,24,5,242 
2016,1,24,6,389 
2016,1,24,7,492 
2016,1,24,8,548 
2016,1,24,9,575 
2016,1,24,10,593 
2016,1,24,11,609 
2016,1,24,12,624 
2016,1,24,13,627 
2016,1,24,14,608 
2016,1,24,15,567 
2016,1,24,16,520 
2016,1,24,17,474 
2016,1,24,18,412 
2016,1,24,19,314 
2016,1,24,20,180 
2016,1,24,21,37 
2016,1,24,22,-86 
2016,1,24,23,-167 
2016,1,25,0,-197 
2016,1,25,1,-178 
2016,1,25,2,-127 
2016,1,25,3,-55 
2016,1,25,4,44 
2016,1,25,5,173 
2016,1,25,6,313 
2016,1,25,7,428 
2016,1,25,8,498 
2016,1,25,9,531 
2016,1,25,10,547 
2016,1,25,11,560 
2016,1,25,12,576 
2016,1,25,13,592 
2016,1,25,14,592 
2016,1,25,15,565 
2016,1,25,16,516 
2016,1,25,17,462 
2016,1,25,18,408 
2016,1,25,19,337 
2016,1,25,20,238 
2016,1,25,21,119 
2016,1,25,22,4 
2016,1,25,23,-82 
2016,1,26,0,-125 
2016,1,26,1,-121 
2016,1,26,2,-80 
2016,1,26,3,-20 
2016,1,26,4,52 
2016,1,26,5,145 
2016,1,26,6,258 
2016,1,26,7,368 
2016,1,26,8,448 
2016,1,26,9,489 
2016,1,26,10,504 
2016,1,26,11,510 
2016,1,26,12,519 
2016,1,26,13,535 
2016,1,26,14,548 
2016,1,26,15,540 
2016,1,26,16,502 
2016,1,26,17,445 
2016,1,26,18,387 
2016,1,26,19,329 
2016,1,26,20,259 
2016,1,26,21,173 
2016,1,26,22,81 
2016,1,26,23,4 
2016,1,27,0,-43 
2016,1,27,1,-50 
2016,1,27,2,-19 
2016,1,27,3,34 
2016,1,27,4,94 
2016,1,27,5,159 
2016,1,27,6,240 
2016,1,27,7,329 
2016,1,27,8,405 
2016,1,27,9,452 
2016,1,27,10,469 
2016,1,27,11,469 
2016,1,27,12,466 
2016,1,27,13,471 
2016,1,27,14,485 
2016,1,27,15,491 
2016,1,27,16,471 
2016,1,27,17,421 
2016,1,27,18,359 
2016,1,27,19,303 
2016,1,27,20,250 
2016,1,27,21,193 
2016,1,27,22,133 
2016,1,27,23,77 
2016,1,28,0,37 
2016,1,28,1,26 
2016,1,28,2,48 
2016,1,28,3,96 
2016,1,28,4,151 
2016,1,28,5,202 
2016,1,28,6,256 
2016,1,28,7,318 
2016,1,28,8,380 
2016,1,28,9,425 
2016,1,28,10,444 
2016,1,28,11,441 
2016,1,28,12,427 
2016,1,28,13,416 
